idx,seed,dataset,accuracy_fp32,accuracy_esp,key,espdl_size_bytes,torch_size_bytes
6181,888,cifar10,87.46,15.35,200,268320,1026712
5838,888,cifar10,89.81,89.47,200,740608,2711531
5903,888,cifar10,88.89,11.03,200,525360,2074867
6409,888,cifar10,79.85,18.38,200,476480,1844843
5973,888,cifar10,92.04,92.01,200,430880,1596681
6457,888,cifar10,89.92,44.96,200,482624,1826705
6138,888,cifar10,88.8,85.99,200,508240,1893599
6646,888,cifar10,91.55,91.55,200,711712,2686993
5587,888,cifar10,91.98,90.52,200,542384,2298036
6118,888,cifar10,93.63,93.62,200,1242592,5084578
6227,888,cifar10,92.5,92.46,200,745920,2910617
5995,888,cifar10,76.03,61.16,200,520784,1875845
5492,888,cifar10,89.23,86.63,200,285056,1009349
6203,888,cifar10,81.94,66.01,200,258000,1026648
5515,888,cifar10,79.8,20.83,200,234480,754595
6526,888,cifar10,91.42,90.93,200,937984,3812934
5983,888,cifar10,88.49,21.59,200,280640,990635
5690,888,cifar10,60.17,16.4,200,186880,548914
6192,888,cifar10,92.96,92.64,200,756720,3158260
6591,888,cifar10,91.76,91.19,200,530896,1858347
6367,888,cifar10,91.83,21.09,200,486064,1833745
6571,888,cifar10,90.59,85.25,200,958640,3788204
5784,888,cifar10,86.56,84.34,200,442704,1639037
6160,888,cifar10,92.67,92.47,200,534128,2080435
6423,888,cifar10,91.76,91.65,200,935296,3813126
5239,888,cifar10,92.43,92.18,200,707536,2928108
6614,888,cifar10,84.57,77.89,200,494864,1893727
5815,888,cifar10,92.19,91.9,200,582096,2305019
6129,888,cifar10,92.13,91.73,200,493952,2067948
6468,888,cifar10,85.46,79.75,200,225760,754595
6581,888,cifar10,90.38,86.38,200,536800,2098637
6603,888,cifar10,88.07,85.43,200,720656,2735173
6388,888,cifar10,93.23,93.18,200,784912,3165307
6274,888,cifar10,86.88,84.91,200,241712,761379
5763,888,cifar10,86.42,17.98,200,709040,2711787
6097,888,cifar10,68.07,11.99,200,255408,810199
6492,888,cifar10,88.88,14.35,200,740432,2934771
6085,888,cifar10,92.18,91.66,200,600000,2528636
6250,888,cifar10,93.19,85.16,200,759216,2917465
5804,888,cifar10,92.94,92.9,200,803904,3164987
5195,888,cifar10,92.49,92.28,200,684032,2698020
6480,888,cifar10,69.0,10.27,200,164784,524440
6691,888,cifar10,91.12,24.83,200,504560,1844779
5698,888,cifar10,93.55,93.46,200,1465360,5951337
6109,888,cifar10,91.9,57.15,200,480416,1827089
6445,888,cifar10,91.66,89.62,200,531104,2074675
6240,888,cifar10,91.36,90.17,200,500640,2068012
6284,888,cifar10,88.48,18.62,200,310304,1214515
6547,888,cifar10,91.95,91.56,200,744144,3158260
6626,888,cifar10,92.66,83.5,200,580720,2280737
5618,888,cifar10,90.13,88.74,200,317824,1213875
6701,888,cifar10,87.15,58.61,200,444432,1639165
5091,888,cifar10,90.95,22.21,200,719568,2705003
5641,888,cifar10,92.56,92.6,200,749488,2910681
5963,888,cifar10,51.6,17.92,200,173312,566597
5775,888,cifar10,91.38,91.08,200,747920,2934771
5150,888,cifar10,92.24,92.26,200,505184,1851371
5469,888,cifar10,82.88,78.69,200,279088,1033695
6052,888,cifar10,91.18,88.9,200,695120,2704171
5220,888,cifar10,89.34,88.88,200,572528,2063705
5185,888,cifar10,92.3,10.25,200,557552,2050457
6150,888,cifar10,86.66,63.91,200,451168,1663703
5880,888,cifar10,91.68,91.35,200,797136,3165243
6514,888,cifar10,91.94,90.32,200,711536,2705067
6217,888,cifar10,92.68,92.45,200,515136,2043602
6331,888,cifar10,90.28,82.63,200,449104,1645757
5562,888,cifar10,92.03,91.42,200,723152,2729669
6065,888,cifar10,90.04,88.8,200,280688,1009093
5825,888,cifar10,92.17,90.88,200,522080,1851307
6262,888,cifar10,92.39,92.18,200,803392,3141089
5850,888,cifar10,91.17,90.65,200,764224,2959629
5951,888,cifar10,85.49,75.4,200,235280,779069
