,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,seed,idx,dataset
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.0,15356.0,0.0,16384.0,16384.0,1.0,0.0,12364.0,3192.0,67643.0,0.0,0.0,0.0,341760.0,83199.0,0.243442766853932,258561.0,1725294.0,368492.0,256.0,2094042.0,2190433.0,888,10261,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.0,15356.0,0.0,16384.0,16384.0,1.0,0.0,12364.0,3192.0,67643.0,0.0,0.0,0.0,341760.0,83199.0,0.243442766853932,258561.0,1725294.0,1303196.0,256.0,3028746.0,3125137.0,888,10281,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.0,15356.0,0.0,16384.0,16384.0,1.0,0.0,12364.0,3192.0,67643.0,0.0,0.0,0.0,341760.0,83199.0,0.243442766853932,258561.0,1725294.0,773564.0,256.0,2499114.0,2595505.0,888,10651,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.0,15356.0,0.0,16384.0,16384.0,1.0,0.0,12364.0,3192.0,67643.0,0.0,0.0,0.0,341760.0,83199.0,0.243442766853932,258561.0,1725294.0,270444.0,256.0,1995994.0,2092385.0,888,10571,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.0,15356.0,0.0,16384.0,16384.0,1.0,0.0,12364.0,3192.0,67643.0,0.0,0.0,0.0,341760.0,83199.0,0.243442766853932,258561.0,1725294.0,370620.0,256.0,2096170.0,2192561.0,888,10201,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.0,15356.0,0.0,16384.0,16384.0,1.0,0.0,12364.0,3192.0,67643.0,0.0,0.0,0.0,341760.0,83199.0,0.243442766853932,258561.0,1725294.0,634828.0,256.0,2360378.0,2456769.0,888,10331,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.0,15356.0,0.0,16384.0,16384.0,1.0,0.0,12364.0,3192.0,67643.0,0.0,0.0,0.0,341760.0,83199.0,0.243442766853932,258561.0,1725294.0,570860.0,256.0,2296410.0,2392801.0,888,10161,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.0,15356.0,0.0,16384.0,16384.0,1.0,0.0,12364.0,3192.0,67643.0,0.0,0.0,0.0,341760.0,83199.0,0.243442766853932,258561.0,1725294.0,757244.0,256.0,2482794.0,2579185.0,888,10221,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.0,15356.0,0.0,16384.0,16384.0,1.0,0.0,12364.0,3192.0,67643.0,0.0,0.0,0.0,341760.0,83199.0,0.243442766853932,258561.0,1725294.0,317260.0,256.0,2042810.0,2139201.0,888,10461,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.0,15356.0,0.0,16384.0,16384.0,1.0,0.0,12364.0,3192.0,67643.0,0.0,0.0,0.0,341760.0,83199.0,0.243442766853932,258561.0,1725294.0,1029980.0,256.0,2755530.0,2851921.0,888,10381,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.0,15356.0,0.0,16384.0,16384.0,1.0,0.0,12364.0,3192.0,67643.0,0.0,0.0,0.0,341760.0,83199.0,0.243442766853932,258561.0,1725294.0,803980.0,256.0,2529530.0,2625921.0,888,10011,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.0,15356.0,0.0,16384.0,16384.0,1.0,0.0,12364.0,3192.0,67643.0,0.0,0.0,0.0,341760.0,83199.0,0.243442766853932,258561.0,1725294.0,849740.0,256.0,2575290.0,2671681.0,888,10521,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.0,15356.0,0.0,16384.0,16384.0,1.0,0.0,12364.0,3192.0,67643.0,0.0,0.0,0.0,341760.0,83199.0,0.243442766853932,258561.0,1725294.0,580204.0,256.0,2305754.0,2402145.0,888,1020,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.0,15356.0,0.0,16384.0,16384.0,1.0,0.0,12364.0,3192.0,67643.0,0.0,0.0,0.0,341760.0,83199.0,0.243442766853932,258561.0,1725294.0,246044.0,256.0,1971594.0,2067985.0,888,10431,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.0,15356.0,0.0,16384.0,16384.0,1.0,0.0,12364.0,3192.0,67643.0,0.0,0.0,0.0,341760.0,83199.0,0.243442766853932,258561.0,1725294.0,580092.0,256.0,2305642.0,2402033.0,888,10021,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.0,15356.0,0.0,16384.0,16384.0,1.0,0.0,12364.0,3192.0,67643.0,0.0,0.0,0.0,341760.0,83199.0,0.243442766853932,258561.0,1725294.0,431708.0,256.0,2157258.0,2253649.0,888,90,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.0,15356.0,0.0,16384.0,16384.0,1.0,0.0,12364.0,3192.0,67643.0,0.0,0.0,0.0,341760.0,83199.0,0.243442766853932,258561.0,1725294.0,596956.0,256.0,2322506.0,2418897.0,888,10041,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.0,15356.0,0.0,16384.0,16384.0,1.0,0.0,12364.0,3192.0,67643.0,0.0,0.0,0.0,341760.0,83199.0,0.243442766853932,258561.0,1725294.0,303900.0,256.0,2029450.0,2125841.0,888,10341,cifar10
