idx,seed,key,espdl_size_bytes,torch_size_bytes
345,888,200,177184,546898
345,999,200,177184,546834
347,777,200,525296,2068849
347,888,200,525296,2067889
348,777,200,497216,1863825
348,888,200,497216,1863953
350,777,200,752256,2912275
350,888,200,752256,2912147
351,777,200,570400,2298159
351,888,200,570400,2298031
352,777,200,755648,2928305
352,888,200,754272,2928113
353,777,200,228400,751541
353,888,200,228400,751349
355,777,200,483504,1822101
355,888,200,483488,1821973
356,777,200,721136,2921259
356,888,200,720448,2921579
357,777,200,451824,1856267
357,888,200,451136,1856011
357,999,200,452512,1856395
358,777,200,767776,2935217
358,888,200,767776,2935473
359,777,200,308464,987443
359,888,200,308448,987507
360,777,200,750992,3128459
360,888,200,748928,3128523
360,999,200,747568,3128395
362,777,200,768016,3174471
362,888,200,768016,3174343
363,777,200,442528,1658545
363,888,200,442528,1658353
363,999,200,442528,1658609
364,777,200,234448,752437
364,888,200,235168,752501
365,777,200,180144,570352
365,888,200,180880,570352
365,999,200,180880,570352
366,777,200,552640,2075825
366,888,200,552640,2075697
367,777,200,758496,2928753
367,888,200,759872,2929393
368,777,200,296192,1225865
368,888,200,291344,1225737
369,777,200,722592,2723281
369,888,200,723312,2723217
370,777,200,551744,2045779
370,888,200,554608,2046163
371,777,200,450224,1641747
371,888,200,450928,1641811
373,777,200,506224,2038221
373,888,200,508272,2038285
375,777,200,214080,739351
375,888,200,212016,739287
376,777,200,787584,2917843
376,888,200,787584,2917395
378,777,200,1243312,5076745
378,888,200,1243328,5077001
380,777,200,472160,1824277
380,888,200,472160,1823829
380,999,200,472160,1824277
381,777,200,806080,3157807
381,888,200,806080,3157615
382,777,200,755680,2935089
382,888,200,755680,2935921
383,777,200,709936,2730577
383,888,200,709936,2730641
385,777,200,763376,2935153
385,888,200,763376,2934641
386,777,200,498656,1862609
386,888,200,497968,1863249
387,777,200,164768,522484
387,888,200,171968,522484
387,999,200,168368,522484
388,777,200,545520,2069105
388,888,200,544800,2069489
390,777,200,187904,553490
390,888,200,187904,553554
390,999,200,187904,553490
391,777,200,1187344,4871849
391,888,200,1187344,4871913
391,999,200,1187344,4871721
392,777,200,539088,2045907
392,888,200,539088,2045331
392,999,200,539088,2046163
393,777,200,470560,1839411
393,888,200,469184,1839155
393,999,200,469184,1839411
396,777,200,240800,780755
396,888,200,240096,780755
396,999,200,241504,780819
397,777,200,530736,2045971
397,888,200,530016,2045843
397,999,200,530016,2045331
398,777,200,540176,2268811
398,888,200,538800,2268747
398,999,200,540176,2268363
400,777,200,737072,2707251
400,888,200,737072,2707571
400,999,200,737072,2706931
401,777,200,445968,1833389
401,888,200,446672,1832749
401,999,200,445968,1833133
402,777,200,529152,2289321
402,888,200,529152,2289129
402,999,200,529152,2289385
403,777,200,506880,1848243
403,888,200,506880,1848307
403,999,200,506880,1847987
404,777,200,741792,2912595
404,888,200,741792,2912595
404,999,200,741792,2911635
406,777,200,490336,1846515
406,888,200,490336,1846131
406,999,200,490336,1846195
408,777,200,240176,757237
408,888,200,241616,757237
408,999,200,238752,757173
409,777,200,560688,2074865
409,888,200,560688,2075313
409,999,200,560688,2074225
410,777,200,550368,2068401
410,888,200,550368,2068977
410,999,200,550368,2068401
411,777,200,1033600,4222479
411,888,200,1033600,4222607
411,999,200,1033600,4222287
412,777,200,972400,4011177
412,888,200,972400,4011113
412,999,200,972400,4011753
413,777,200,785520,3156463
413,888,200,785520,3156783
413,999,200,785520,3157103
414,777,200,284336,988083
414,888,200,286496,988083
414,999,200,283632,988147
415,777,200,485696,1905095
415,888,200,485008,1905031
415,999,200,484320,1904903
416,777,200,554848,2069937
416,888,200,554848,2069937
416,999,200,554848,2069809
417,777,200,493920,1846579
417,888,200,493920,1846195
417,999,200,493920,1846515
418,777,200,586912,2273681
418,888,200,585488,2273617
418,999,200,585488,2273617
419,777,200,434912,1601431
419,888,200,434912,1601239
419,999,200,434912,1601239
420,777,200,230224,972909
420,888,200,231584,973229
420,999,200,231584,972973
421,777,200,445808,1617589
421,888,200,442960,1617525
421,999,200,445824,1617653
422,777,200,574592,2275345
422,888,200,572544,2275025
422,999,200,573216,2274961
423,777,200,264176,1021353
423,888,200,266928,1021609
423,999,200,268304,1021097
424,777,200,498912,1853811
424,888,200,498912,1853683
424,999,200,498912,1853939
425,777,200,925776,3758413
425,888,200,925776,3758029
425,999,200,923024,3758413
426,777,200,200896,740247
426,888,200,200896,740375
426,999,200,200896,740375
427,777,200,507664,1853939
427,888,200,507664,1854003
427,999,200,507664,1853491
428,777,200,530720,2045139
428,888,200,530000,2045395
428,999,200,531440,2045523
429,777,200,531296,2109863
429,888,200,530640,2110183
429,999,200,531280,2110055
430,777,200,748304,2928753
430,888,200,746912,2928817
430,999,200,748992,2928369
431,777,200,442528,1601047
431,888,200,442528,1600983
431,999,200,442528,1601239
432,777,200,144528,516462
432,888,200,143088,516462
432,999,200,143808,516462
435,777,200,785504,3158831
