idx,seed,dataset,acc,esp_acc
1309,888,cifar10,86.75,57.52
381,888,cifar10,91.00,90.49
219,777,cifar10,92.79,92.75
755,777,cifar10,90.48,86.70
932,888,cifar10,92.18,91.45
482,777,cifar10,88.19,87.30
1117,777,cifar10,89.63,12.31
423,777,cifar10,85.65,55.73
1035,999,cifar10,92.72,92.61
634,777,cifar10,88.34,83.04
980,999,cifar10,90.44,86.85
470,999,cifar10,91.80,91.26
1127,999,cifar10,91.96,92.06
159,999,cifar10,89.98,89.55
1207,888,cifar10,92.07,50.68
1096,777,cifar10,92.12,48.26
542,999,cifar10,93.24,93.14
1,777,cifar10,93.75,93.08
743,888,cifar10,81.81,77.17
292,777,cifar10,90.65,89.51
565,777,cifar10,91.35,89.82
765,999,cifar10,87.88,79.42
721,888,cifar10,92.86,92.64
1255,999,cifar10,92.72,92.57
1391,999,cifar10,92.34,92.10
1267,777,cifar10,93.43,93.24
303,777,cifar10,90.18,89.08
281,777,cifar10,92.30,88.92
32,777,cifar10,92.28,92.20
505,777,cifar10,89.93,15.69
1160,999,cifar10,93.53,93.34
787,777,cifar10,92.02,91.56
185,999,cifar10,90.84,10.00
676,777,cifar10,85.63,83.03
68,999,cifar10,91.31,90.79
401,777,cifar10,87.60,82.63
666,777,cifar10,92.64,28.07
944,999,cifar10,92.09,91.53
260,888,cifar10,86.25,73.06
1242,777,cifar10,75.23,18.14
843,777,cifar10,91.83,91.01
688,777,cifar10,93.17,93.10
1231,888,cifar10,73.56,17.94
229,777,cifar10,87.51,82.03
553,777,cifar10,86.48,47.57
890,777,cifar10,89.23,88.84
148,999,cifar10,92.36,92.18
391,777,cifar10,91.88,91.67
610,999,cifar10,92.17,91.79
1346,999,cifar10,93.36,93.18
1011,999,cifar10,92.02,71.24
587,999,cifar10,93.58,93.05
337,777,cifar10,88.10,87.25
1323,777,cifar10,10.00,10.00
733,888,cifar10,93.10,93.18
447,777,cifar10,88.77,86.05
833,999,cifar10,92.15,92.02
1367,777,cifar10,92.26,92.19
1085,777,cifar10,75.95,23.87
101,777,cifar10,88.19,87.48
1175,999,cifar10,90.96,89.36
854,999,cifar10,91.18,65.85
1356,777,cifar10,92.30,14.38
125,888,cifar10,90.10,87.27
11,999,cifar10,91.19,91.00
1297,888,cifar10,92.23,91.35
79,777,cifar10,91.74,65.33
879,888,cifar10,10.00,10.00
656,999,cifar10,90.51,90.48
1106,777,cifar10,86.46,43.81
933,999,cifar10,10.00,10.00
347,888,cifar10,88.61,17.92
1000,777,cifar10,93.77,93.71
493,888,cifar10,89.77,89.14
809,999,cifar10,90.48,88.35
239,777,cifar10,51.04,10.00
958,999,cifar10,92.66,92.37
1060,777,cifar10,90.10,88.94
1277,777,cifar10,93.17,93.09
599,777,cifar10,87.96,39.26
1150,999,cifar10,90.36,88.41
114,888,cifar10,89.87,89.45
271,777,cifar10,85.61,32.14
371,777,cifar10,91.50,89.11
412,999,cifar10,92.20,91.87
700,999,cifar10,91.80,91.74
325,777,cifar10,91.93,91.58
990,777,cifar10,91.88,91.86
968,777,cifar10,89.05,16.16
517,777,cifar10,92.01,91.33
1196,999,cifar10,92.02,91.93
1379,777,cifar10,90.63,89.30
577,777,cifar10,93.16,93.28
778,777,cifar10,92.50,44.80
1412,888,cifar10,84.66,69.88
1402,777,cifar10,91.33,90.72
710,777,cifar10,85.19,82.87
645,777,cifar10,93.30,93.14
250,777,cifar10,93.79,93.85
1139,777,cifar10,93.15,92.93
530,888,cifar10,72.82,16.81
1287,777,cifar10,93.05,92.76
1047,777,cifar10,89.98,88.99
900,888,cifar10,87.97,10.00
89,888,cifar10,91.93,91.36
170,777,cifar10,88.86,88.53
196,888,cifar10,86.52,86.21
207,999,cifar10,91.30,90.01
57,777,cifar10,75.54,64.85
314,888,cifar10,92.18,52.61
1311,999,cifar10,79.46,27.29
219,888,cifar10,93.19,93.18
1335,777,cifar10,93.33,93.05
865,888,cifar10,89.16,86.49
799,888,cifar10,82.33,26.61
1074,777,cifar10,91.06,22.59
922,777,cifar10,85.36,21.46
358,888,cifar10,92.20,91.91
437,777,cifar10,75.86,64.88
910,777,cifar10,93.22,93.03
159,777,cifar10,89.23,88.76
1127,777,cifar10,91.82,91.55
765,777,cifar10,87.80,78.25
21,777,cifar10,92.21,92.00
1023,777,cifar10,92.76,74.79
634,888,cifar10,88.06,84.18
1035,777,cifar10,93.05,92.79
46,999,cifar10,90.84,88.49
1222,999,cifar10,85.13,75.45
423,888,cifar10,84.97,55.52
482,888,cifar10,88.16,86.05
32,888,cifar10,92.40,92.16
505,888,cifar10,90.09,31.82
1096,888,cifar10,91.77,58.35
621,888,cifar10,91.56,89.58
890,888,cifar10,88.75,87.31
1209,999,cifar10,89.15,10.32
470,777,cifar10,91.62,91.28
1428,777,cifar10,92.96,92.71
1117,888,cifar10,89.40,10.97
401,888,cifar10,87.65,79.49
303,888,cifar10,89.54,87.52
1185,888,cifar10,91.29,12.51
458,777,cifar10,92.28,90.42
1391,777,cifar10,92.03,91.92
1242,888,cifar10,75.62,15.50
565,888,cifar10,91.66,89.54
744,999,cifar10,91.07,88.33
933,777,cifar10,10.00,10.00
68,777,cifar10,91.58,91.06
755,888,cifar10,90.48,83.65
337,888,cifar10,88.56,88.04
382,777,cifar10,92.59,92.37
820,777,cifar10,90.48,83.39
101,888,cifar10,88.44,87.72
229,888,cifar10,86.11,81.35
136,777,cifar10,92.17,91.79
676,888,cifar10,85.25,83.11
787,888,cifar10,92.16,91.48
1,888,cifar10,93.63,93.09
1085,888,cifar10,75.55,15.70
239,888,cifar10,52.75,10.00
1255,777,cifar10,92.97,92.87
292,888,cifar10,91.13,89.80
148,777,cifar10,91.93,91.87
185,777,cifar10,90.79,10.08
1267,888,cifar10,93.40,93.35
734,777,cifar10,86.99,82.79
1232,999,cifar10,75.50,65.55
553,888,cifar10,86.47,60.03
722,777,cifar10,93.74,93.79
1323,888,cifar10,10.00,10.00
980,777,cifar10,90.66,85.64
79,888,cifar10,92.26,59.02
281,888,cifar10,92.51,69.16
833,777,cifar10,92.13,91.71
1106,888,cifar10,86.67,47.95
610,777,cifar10,92.39,91.46
700,777,cifar10,92.20,92.10
447,888,cifar10,88.63,85.28
126,999,cifar10,84.61,32.81
901,999,cifar10,79.96,69.22
1367,888,cifar10,91.94,91.72
587,777,cifar10,93.58,93.47
1175,777,cifar10,91.06,89.38
1298,999,cifar10,91.89,36.51
854,777,cifar10,91.35,72.05
542,777,cifar10,93.09,92.80
494,999,cifar10,78.46,65.82
666,888,cifar10,92.45,26.12
1011,777,cifar10,91.93,42.59
688,888,cifar10,92.87,92.73
1000,888,cifar10,93.28,93.20
517,888,cifar10,91.91,91.63
1356,888,cifar10,92.63,55.25
271,888,cifar10,85.54,42.71
1060,888,cifar10,90.49,89.14
115,999,cifar10,90.84,86.98
371,888,cifar10,91.04,88.96
348,777,cifar10,87.33,84.30
843,888,cifar10,92.21,91.54
1047,888,cifar10,89.60,89.08
944,777,cifar10,92.23,91.37
1097,999,cifar10,86.89,80.10
958,777,cifar10,92.39,92.09
656,777,cifar10,91.02,90.83
809,777,cifar10,90.60,88.04
968,888,cifar10,89.19,21.10
635,999,cifar10,75.55,58.27
261,999,cifar10,92.53,92.26
391,888,cifar10,92.01,91.52
765,888,cifar10,88.38,82.16
533,999,cifar10,88.01,18.34
933,888,cifar10,10.00,10.00
250,888,cifar10,93.88,93.69
990,888,cifar10,92.25,91.99
159,888,cifar10,90.03,89.58
1346,777,cifar10,93.28,93.23
359,777,cifar10,88.73,86.17
1150,777,cifar10,90.26,88.79
710,888,cifar10,84.89,81.40
1311,777,cifar10,78.99,31.06
880,999,cifar10,90.94,84.19
1196,777,cifar10,91.84,91.75
599,888,cifar10,87.12,55.22
325,888,cifar10,91.34,91.24
1160,777,cifar10,93.32,93.37
1287,888,cifar10,92.87,92.52
1127,888,cifar10,91.89,91.83
1379,888,cifar10,90.28,89.55
170,888,cifar10,88.96,88.54
645,888,cifar10,93.09,92.94
197,999,cifar10,91.04,87.85
577,888,cifar10,93.33,93.17
1243,999,cifar10,89.78,89.00
57,888,cifar10,76.18,62.53
90,999,cifar10,90.05,87.57
11,777,cifar10,91.80,91.52
1413,999,cifar10,92.86,92.75
1035,888,cifar10,92.81,92.61
240,999,cifar10,79.55,42.04
1139,888,cifar10,92.96,92.90
315,999,cifar10,86.76,84.62
1277,888,cifar10,93.38,93.32
