,Unnamed: 0,arch_0,arch_1,arch_2,arch_3,arch_4,arch_5,dataset,espdl_size_bytes,torch_size_bytes,accuracy_fp32,accuracy_esp,idx,seed
18228,18228,skip_connect,nor_conv_1x1,none,avg_pool_3x3,avg_pool_3x3,skip_connect,cifar10,234000,779757,87.03,63.73,9577,888
18229,18229,nor_conv_1x1,skip_connect,nor_conv_3x3,none,nor_conv_3x3,none,cifar10,727152,2920287,91.19,91.02,10098,777
18230,18230,avg_pool_3x3,nor_conv_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_1x1,nor_conv_1x1,cifar10,528368,2118814,90.55,88.39,9330,888
18231,18231,avg_pool_3x3,nor_conv_3x3,nor_conv_1x1,nor_conv_1x1,nor_conv_3x3,avg_pool_3x3,cifar10,768608,3184998,91.26,90.86,9931,888
18232,18232,skip_connect,none,nor_conv_3x3,nor_conv_3x3,nor_conv_3x3,nor_conv_1x1,cifar10,989888,4003005,93.15,93.02,9600,777
18233,18233,nor_conv_1x1,skip_connect,nor_conv_1x1,skip_connect,nor_conv_1x1,avg_pool_3x3,cifar10,279728,1209198,88.41,12.43,9889,888
18234,18234,none,nor_conv_1x1,skip_connect,avg_pool_3x3,nor_conv_1x1,nor_conv_3x3,cifar10,554928,2076277,91.3,76.26,9996,777
18235,18235,avg_pool_3x3,nor_conv_1x1,skip_connect,nor_conv_1x1,skip_connect,avg_pool_3x3,cifar10,248608,1003366,85.63,62.13,8978,888
18236,18236,skip_connect,nor_conv_1x1,nor_conv_3x3,nor_conv_1x1,nor_conv_3x3,avg_pool_3x3,cifar10,744400,3162303,91.36,91.39,10597,777
18237,18237,none,nor_conv_3x3,none,none,nor_conv_3x3,none,cifar10,710192,2700733,10.0,10.0,9588,888
18238,18238,none,avg_pool_3x3,none,none,nor_conv_1x1,none,cifar10,233120,775697,10.0,10.0,10576,888
18239,18239,nor_conv_1x1,avg_pool_3x3,nor_conv_3x3,none,none,none,cifar10,505136,1860515,10.0,10.0,10304,888
18240,18240,nor_conv_3x3,skip_connect,nor_conv_1x1,avg_pool_3x3,avg_pool_3x3,nor_conv_3x3,cifar10,737744,2954534,91.64,90.5,9517,777
18241,18241,skip_connect,nor_conv_1x1,none,nor_conv_1x1,none,avg_pool_3x3,cifar10,294704,992501,89.99,88.27,9956,888
18242,18242,nor_conv_3x3,nor_conv_1x1,none,none,nor_conv_3x3,none,cifar10,760944,2924157,91.07,91.14,9374,777
18243,18243,avg_pool_3x3,skip_connect,skip_connect,avg_pool_3x3,skip_connect,none,cifar10,192448,549482,72.69,16.81,9671,777
18244,18244,none,none,nor_conv_1x1,avg_pool_3x3,avg_pool_3x3,none,cifar10,242432,793133,76.16,68.2,9981,888
18245,18245,nor_conv_3x3,nor_conv_3x3,nor_conv_3x3,avg_pool_3x3,avg_pool_3x3,nor_conv_1x1,cifar10,996464,4046677,92.56,91.87,10359,888
18246,18246,avg_pool_3x3,nor_conv_1x1,nor_conv_1x1,skip_connect,avg_pool_3x3,none,cifar10,289168,1011385,79.82,17.69,10143,777
18247,18247,none,nor_conv_3x3,avg_pool_3x3,skip_connect,nor_conv_3x3,nor_conv_1x1,cifar10,755616,2936437,93.25,87.5,9233,888
18248,18248,nor_conv_1x1,none,skip_connect,nor_conv_3x3,nor_conv_1x1,none,cifar10,530448,2060127,92.27,92.25,10268,777
18249,18249,nor_conv_1x1,none,none,none,skip_connect,nor_conv_3x3,cifar10,506528,1835789,88.61,10.66,10257,888
18250,18250,none,none,skip_connect,nor_conv_1x1,avg_pool_3x3,skip_connect,cifar10,229840,762101,89.04,88.77,9614,888
18251,18251,nor_conv_1x1,none,none,nor_conv_1x1,avg_pool_3x3,nor_conv_1x1,cifar10,319136,1222837,89.95,36.55,9552,888
18252,18252,none,nor_conv_3x3,avg_pool_3x3,nor_conv_3x3,nor_conv_3x3,none,cifar10,985328,3803573,92.45,31.21,9408,777
18253,18253,nor_conv_3x3,nor_conv_1x1,nor_conv_3x3,avg_pool_3x3,nor_conv_1x1,skip_connect,cifar10,744512,3160302,92.59,91.82,9397,777
18254,18254,skip_connect,none,avg_pool_3x3,nor_conv_1x1,nor_conv_1x1,skip_connect,cifar10,265072,985845,88.65,85.45,9634,777
18255,18255,skip_connect,skip_connect,avg_pool_3x3,none,none,none,cifar10,162416,538290,10.0,10.0,9852,888
18256,18256,nor_conv_1x1,nor_conv_1x1,nor_conv_3x3,skip_connect,none,nor_conv_3x3,cifar10,797024,3144497,94.04,93.82,10154,777
18257,18257,skip_connect,nor_conv_3x3,nor_conv_1x1,nor_conv_3x3,nor_conv_3x3,nor_conv_3x3,cifar10,1221296,5088763,92.65,92.7,10281,777
18258,18258,skip_connect,nor_conv_3x3,avg_pool_3x3,nor_conv_3x3,none,nor_conv_1x1,cifar10,753280,2938229,92.68,92.32,10414,777
18259,18259,none,none,none,nor_conv_3x3,avg_pool_3x3,skip_connect,cifar10,443040,1629649,92.05,92.02,10030,777
18260,18260,nor_conv_3x3,skip_connect,none,nor_conv_3x3,avg_pool_3x3,skip_connect,cifar10,692800,2707235,92.24,92.05,10621,777
18261,18261,nor_conv_1x1,skip_connect,avg_pool_3x3,avg_pool_3x3,nor_conv_1x1,nor_conv_3x3,cifar10,522624,2094118,91.17,89.37,9469,888
18262,18262,nor_conv_3x3,avg_pool_3x3,nor_conv_3x3,skip_connect,none,none,cifar10,710944,2712757,86.45,85.97,9922,888
18263,18263,avg_pool_3x3,nor_conv_1x1,avg_pool_3x3,none,nor_conv_1x1,none,cifar10,292240,1017133,79.91,74.12,9901,888
