,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,seed,idx,dataset
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.24416842228464403,258313.0,765928.0,572068.0,256.0,1338252.0,1418403.0,777,2180,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.24416842228464403,258313.0,765928.0,873540.0,256.0,1639724.0,1719875.0,777,6980,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.24416842228464403,258313.0,765928.0,833572.0,256.0,1599756.0,1679907.0,777,4921,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.24416842228464403,258313.0,765928.0,311620.0,256.0,1077804.0,1157955.0,777,8800,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.24416842228464403,258313.0,765928.0,557044.0,256.0,1323228.0,1403379.0,777,5290,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.24416842228464403,258313.0,765928.0,616660.0,256.0,1382844.0,1462995.0,777,3690,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.24416842228464403,258313.0,765928.0,599060.0,256.0,1365244.0,1445395.0,777,3571,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.24416842228464403,258313.0,765928.0,247476.0,256.0,1013660.0,1093811.0,777,3100,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.24416842228464403,258313.0,765928.0,571700.0,256.0,1337884.0,1418035.0,777,7700,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.24416842228464403,258313.0,765928.0,374244.0,256.0,1140428.0,1220579.0,777,2380,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.24416842228464403,258313.0,765928.0,792484.0,256.0,1558668.0,1638819.0,777,6090,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.24416842228464403,258313.0,765928.0,286708.0,256.0,1052892.0,1133043.0,777,11302,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.24416842228464403,258313.0,765928.0,571748.0,256.0,1337932.0,1418083.0,777,5600,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.24416842228464403,258313.0,765928.0,627364.0,256.0,1393548.0,1473699.0,777,6650,cifar10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13684.0,3296.0,65439.0,1028.0,0.0,0.0,341760.0,83447.0,0.24416842228464403,258313.0,765928.0,863588.0,256.0,1629772.0,1709923.0,777,3461,cifar10
